Memory		Disk		CPU
13.09%		8%		0.00%		
13.31%		8%		0.00%		
13.38%		8%		0.00%		
13.42%		8%		0.00%		
13.47%		8%		0.00%		
13.50%		8%		0.00%		
13.56%		8%		0.00%		
13.56%		8%		0.00%		
13.59%		8%		0.00%		
13.59%		8%		0.00%		
13.60%		8%		0.00%		
13.61%		8%		0.00%		
13.61%		8%		0.00%		
13.65%		8%		0.00%		
13.63%		8%		0.00%		
13.65%		8%		0.00%		
13.66%		8%		0.00%		
13.66%		8%		0.00%		
13.66%		8%		0.00%		
13.66%		8%		0.00%		
13.66%		8%		0.00%		
13.69%		8%		0.00%		
13.69%		8%		0.00%		
13.69%		8%		0.00%		
13.66%		8%		0.00%		
13.89%		8%		0.00%		
13.94%		8%		0.00%		
13.98%		8%		0.00%		
14.02%		8%		0.00%		
14.06%		8%		0.00%		
14.12%		8%		0.00%		
14.17%		8%		0.00%		
14.21%		8%		0.00%		
14.26%		8%		0.00%		
14.34%		8%		0.00%		
14.38%		8%		0.00%		
14.43%		8%		0.00%		
14.47%		8%		0.00%		
14.52%		8%		0.00%		
14.58%		8%		0.00%		
14.62%		8%		0.00%		
14.64%		8%		0.00%		
14.69%		8%		0.00%		
14.75%		8%		0.00%		
14.80%		8%		0.00%		
14.83%		8%		0.00%		
14.89%		8%		0.00%		
14.92%		8%		0.00%		
14.97%		8%		0.00%		
15.00%		8%		0.00%		
15.05%		8%		0.00%		
15.11%		8%		0.00%		
15.14%		8%		0.00%		
15.18%		8%		0.00%		
15.29%		8%		0.00%		
15.39%		8%		0.00%		
15.48%		8%		0.00%		
15.57%		8%		0.00%		
15.65%		8%		0.00%		
15.80%		8%		0.00%		
15.11%		8%		0.00%		
15.10%		8%		0.00%		
15.10%		8%		0.00%		
15.10%		8%		0.00%		
15.09%		8%		0.00%		
15.15%		8%		0.00%		
15.15%		8%		0.00%		
15.20%		8%		0.00%		
15.22%		8%		0.00%		
15.22%		8%		0.00%		
15.22%		8%		0.00%		
15.22%		8%		0.00%		
15.23%		8%		0.00%		
15.23%		8%		0.00%		
15.23%		8%		0.00%		
15.23%		8%		0.00%		
15.24%		8%		0.00%		
15.24%		8%		0.00%		
15.24%		8%		0.00%		
15.24%		8%		0.00%		
15.23%		8%		0.00%		
15.24%		8%		0.00%		
15.24%		8%		0.00%		
15.23%		8%		0.00%		
15.24%		8%		0.00%		
15.24%		8%		0.00%		
15.24%		8%		0.00%		
15.24%		8%		0.00%		
15.24%		8%		0.00%		
15.24%		8%		0.00%		
15.24%		8%		0.00%		
15.25%		8%		0.00%		
15.24%		8%		0.00%		
15.24%		8%		0.00%		
15.24%		8%		0.00%		
15.24%		8%		0.00%		
15.24%		8%		0.00%		
15.24%		8%		0.00%		
15.24%		8%		0.00%		
15.25%		8%		0.00%		
15.25%		8%		0.00%		
15.25%		8%		0.00%		
15.27%		8%		0.00%		
15.27%		8%		0.00%		
15.27%		8%		0.00%		
15.27%		8%		0.00%		
15.25%		8%		0.00%		
15.25%		8%		0.00%		
15.25%		8%		0.00%		
15.25%		8%		0.00%		
15.25%		8%		0.00%		
15.25%		8%		0.00%		
15.24%		8%		0.00%		
15.19%		8%		0.00%		
15.19%		8%		0.00%		
15.20%		8%		0.00%		
15.20%		8%		0.00%		
15.20%		8%		0.00%		
15.20%		8%		0.00%		
15.20%		8%		0.00%		
15.20%		8%		0.00%		
15.20%		8%		0.00%		
15.20%		8%		0.00%		
15.22%		8%		0.00%		
15.20%		8%		0.00%		
15.20%		8%		0.00%		
15.20%		8%		0.00%		
15.20%		8%		0.00%		
15.20%		8%		0.00%		
15.22%		8%		0.00%		
15.22%		8%		0.00%		
15.22%		8%		0.00%		
15.22%		8%		0.00%		
15.22%		8%		0.00%		
15.22%		8%		0.00%		
15.22%		8%		0.00%		
15.22%		8%		0.00%		
15.20%		8%		0.00%		
15.20%		8%		0.00%		
